state,district,last_demo_update,last_bio_update,demo_lag_days,bio_lag_days,overall_lag,high_risk
Uttar Pradesh,Agra,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Aligarh,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Allahabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Ambedkar Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Amethi,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Amroha,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Auraiya,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Ayodhya,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Azamgarh,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Baghpat,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bagpat,2025-12-21,2025-12-16,11,16,11,False
Uttar Pradesh,Bahraich,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Ballia,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Balrampur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Banda,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bara Banki,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Barabanki,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bareilly,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Basti,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bhadohi,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bijnor,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Budaun,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bulandshahar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Bulandshahr,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Chandauli,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Chitrakoot,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Deoria,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Etah,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Etawah,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Faizabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Farrukhabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Fatehpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Firozabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Gautam Buddha Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Ghaziabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Ghazipur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Gonda,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Gorakhpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Hamirpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Hapur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Hardoi,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Hathras,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Jalaun,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Jaunpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Jhansi,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Jyotiba Phule Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kannauj,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kanpur Dehat,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kanpur Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kasganj,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kaushambi,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kheri,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Kushinagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Lalitpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Lucknow,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Maharajganj,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Mahoba,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Mahrajganj,2025-12-31,2026-01-02,1,-1,-1,True
Uttar Pradesh,Mainpuri,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Mathura,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Mau,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Meerut,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Mirzapur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Moradabad,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Muzaffarnagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Pilibhit,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Pratapgarh,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Prayagraj,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Rae Bareli,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Raebareli,2025-12-22,2025-12-15,10,17,10,False
Uttar Pradesh,Rampur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Saharanpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sambhal,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sant Kabir Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sant Ravidas Nagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,2026-01-03,2026-01-02,-2,-1,-2,True
Uttar Pradesh,Shahjahanpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Shamli,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Shrawasti,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Siddharthnagar,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sitapur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sonbhadra,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Sultanpur,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Unnao,2026-01-03,2026-01-03,-2,-2,-2,True
Uttar Pradesh,Varanasi,2026-01-03,2026-01-03,-2,-2,-2,True
